date,USD/PLN,CHF/PLN,EUR/PLN,EUR/USD,CHF/USD
2024-01-12,3.9746,4.6556,4.3574,1.096311578523625,1.1713379962763548
2024-01-11,3.968,4.6637,4.3505,1.0963961693548387,1.1753276209677421
2024-01-10,3.9656,4.6538,4.3413,1.094739761952794,1.1735424652007265
2024-01-09,3.9612,4.6616,4.3351,1.0943905887104917,1.1768151065333738
2024-01-08,3.9812,4.6793,4.3548,1.0938410529488596,1.1753491409625239
2024-01-05,3.985,4.6714,4.3484,1.0911919698870765,1.172245922208281
2024-01-04,3.9684,4.6718,4.3525,1.0967896381413165,1.1772502771897995
2024-01-03,3.9909,4.6873,4.3646,1.093638026510311,1.1744969806309353
2024-01-02,3.9432,4.6596,4.3434,1.1014911746804625,1.1816798539257456
2023-12-29,3.935,4.6828,4.348,1.1049555273189327,1.1900381194409149
2023-12-28,3.899,4.6671,4.3392,1.1129007437804566,1.1969992305719415
2023-12-27,3.9178,4.599,4.3311,1.1054928786563887,1.1738730920414517
2023-12-22,3.9338,4.597,4.3288,1.100411815547308,1.1685901672682903
2023-12-21,3.9645,4.5988,4.3387,1.0943876907554546,1.1599949552276452
2023-12-20,3.9527,4.5885,4.3341,1.0964910061476965,1.160852075796291
2023-12-19,3.9591,4.5709,4.3321,1.094213331312672,1.1545300699653962
2023-12-18,3.9625,4.5611,4.3269,1.0919621451104102,1.1510662460567822
2023-12-15,3.9326,4.5374,4.3103,1.0960433301123937,1.1537913848344608
2023-12-14,3.9484,4.5328,4.3053,1.0903910444737108,1.1480093202309796
2023-12-13,4.0149,4.5827,4.3309,1.078706817106279,1.1414231985852699
2023-12-12,4.0204,4.581,4.3396,1.0793950850661624,1.1394388618047955
2023-12-11,4.0277,4.5824,4.3366,1.0766938947786577,1.1377212801350645
2023-12-08,4.0181,4.5913,4.3303,1.0776984146736022,1.14265448843981
2023-12-07,4.0199,4.6027,4.3334,1.0779870146023534,1.1449787308141992
2023-12-06,4.0202,4.5982,4.3382,1.079100542261579,1.1437739415949455
2023-12-05,3.991,4.5689,4.3233,1.0832623402655974,1.1448008018040592
2023-12-04,3.985,4.5678,4.3337,1.087503136762861,1.1462484316185697
2023-12-01,3.991,4.567,4.3494,1.0898020546229015,1.1443247306439488
2023-11-30,3.981,4.551,4.3492,1.0924893242903793,1.1431801055011304
2023-11-29,3.9478,4.5031,4.3327,1.0974973402907948,1.1406606211054258
2023-11-28,3.975,4.5175,4.3542,1.0953962264150943,1.1364779874213837
2023-11-27,3.9769,4.512,4.3543,1.0948980361588172,1.1345520380195628
2023-11-24,4.0103,4.5348,4.3722,1.090242625240007,1.1307882203326434
2023-11-23,3.9969,4.5274,4.3658,1.0922965298106033,1.1327278640946734
2023-11-22,4.018,4.5433,4.3804,1.0901941264310602,1.1307366849178697
2023-11-21,3.9882,4.5106,4.3647,1.0944034902963744,1.1309864099092324
2023-11-20,3.9938,4.5248,4.368,1.0936952276027845,1.1329560819269868
2023-11-17,4.0327,4.5427,4.3767,1.085302650829469,1.1264661393111315
2023-11-16,4.0415,4.5452,4.3854,1.0850921687492268,1.1246319435853025
2023-11-15,4.0453,4.5495,4.39,1.085209996786394,1.1246384693347835
2023-11-14,4.121,4.572,4.4163,1.0716573647173013,1.1094394564426109
2023-11-13,4.1474,4.5975,4.4336,1.069007088778512,1.108525823407436
2023-11-10,4.1423,4.5905,4.4227,1.0676918620090288,1.108200758032977
2023-11-09,4.1513,4.61,4.4413,1.069857634957724,1.1104955074314071
2023-11-08,4.1804,4.6343,4.4584,1.0665008133192997,1.1085781264950723
2023-11-07,4.1667,4.6283,4.4513,1.0683034535723714,1.1107831137350903
2023-11-06,4.1512,4.6322,4.4615,1.0747494700327616,1.1158701098477548
2023-11-03,4.1857,4.6293,4.4569,1.0647920300069285,1.1059798838903887
2023-11-02,4.1963,4.6466,4.4582,1.062412124967233,1.1073088196744751
2023-10-31,4.1684,4.6227,4.4475,1.0669561462431627,1.1089866615487958
2023-10-30,4.204,4.6546,4.4491,1.058301617507136,1.1071836346336823
2023-10-27,4.2267,4.6935,4.4642,1.056190408592992,1.1104407693945633
2023-10-26,4.2395,4.7123,4.4708,1.0545583205566695,1.1115225852105202
2023-10-25,4.2284,4.7236,4.4758,1.0585091287484627,1.1171128559265917
2023-10-23,4.2022,4.7083,4.4552,1.060206558469373,1.12043691399743
